anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2013,Ingreso autónomo,Metropolitana,984683.0082216923,1626696.3295822323,29753.20435769657,49152.293598914715
2015,Ingreso autónomo,Metropolitana,1121339.0011395076,1686493.8577138123,24122.72088788441,36280.572215378146
2017,Ingreso autónomo,Metropolitana,1252706.422772129,1795128.3038324616,33860.316515852646,48521.83356721683
2020,Ingreso autónomo,Metropolitana,1239652.44011664,1636341.2209539628,29343.96912845831,38734.03924956496
2022,Ingreso autónomo,Metropolitana,1609252.5701218673,1757303.8065730815,26632.63640104826,29082.83894994468
2024,Ingreso autónomo,Metropolitana,1882235.7587519118,1882235.7587519118,25062.387517506086,25062.387517506082
2006,Ingreso autónomo,O'Higgins,405099.1966912239,852733.8090350273,19154.572759852996,40320.37565949055
2009,Ingreso autónomo,O'Higgins,471676.6103726674,868356.6396960798,31160.82030156218,57367.070175176006
2011,Ingreso autónomo,O'Higgins,526216.382758014,908775.6930230896,25794.01778542429,44546.268715427774
2013,Ingreso autónomo,O'Higgins,608142.4380053289,1004651.3075848039,26729.776963570202,44157.591543817995
2015,Ingreso autónomo,O'Higgins,700339.2739330212,1053310.2679952623,23625.69289913109,35533.04212029314
2017,Ingreso autónomo,O'Higgins,701794.041267304,1005670.8611360468,18236.55418726457,26132.982150350126
2020,Ingreso autónomo,O'Higgins,756846.4089349844,999037.2597941804,42551.66552253433,56168.19848974532
2022,Ingreso autónomo,O'Higgins,979061.1744296295,1069134.8024771556,21373.38566984868,23339.737151474783
2024,Ingreso autónomo,O'Higgins,1132311.690873225,1132311.690873225,21340.8195927499,21340.8195927499
2006,Ingreso autónomo,Maule,348322.4621442408,733218.7828136282,16727.736595346978,35211.8855332054
2009,Ingreso autónomo,Maule,414862.98426540097,763762.7540326039,34510.67731383714,63534.156934774146
2011,Ingreso autónomo,Maule,425577.6222510484,734972.5536275613,15604.394384209123,26948.789101529135
2013,Ingreso autónomo,Maule,529783.9680660771,875203.11524516,24440.4398239213,40375.606589118004
2015,Ingreso autónomo,Maule,607734.9096138667,914033.3040592545,26918.951228988433,40486.1026483986
2017,Ingreso autónomo,Maule,664859.1398980357,952743.1474738852,21590.19787480687,30938.753554598246
2020,Ingreso autónomo,Maule,754263.3096204104,995627.5686989418,81191.4936293886,107172.77159079298
2022,Ingreso autónomo,Maule,783693.3663261276,855793.156028133,15308.27951662159,16716.64123215076
2024,Ingreso autónomo,Maule,893886.0086161429,893886.0086161429,21036.629588032258,21036.629588032258
2017,Ingreso autónomo,Ñuble,588985.9653822008,844016.8883926936,27576.765211983962,39517.504548773024
2020,Ingreso autónomo,Ñuble,587795.6056994876,775890.1995233226,32007.98914368579,42250.545669665255
2022,Ingreso autónomo,Ñuble,727452.9462220499,794378.6172744777,18274.695081144153,19955.96702860943
2024,Ingreso autónomo,Ñuble,968349.8316634313,968349.8316634313,33551.967822615436,33551.96782261544
2006,Ingreso autónomo,Biobío,370121.455080591,779105.6629446438,13562.22352397009,28548.480517957025
2009,Ingreso autónomo,Biobío,425214.46976312384,782819.8388339109,15763.208975164265,29020.067723277418
2011,Ingreso autónomo,Biobío,490629.05046803196,847316.3701582911,29483.985525729888,50918.8430029355
2013,Ingreso autónomo,Biobío,538349.7207525863,889353.7386832705,13402.65464232824,22141.18546912626
2015,Ingreso autónomo,Biobío,635213.2439742704,955360.7189373032,22531.821760611645,33887.85992795992
2017,Ingreso autónomo,Biobío,734945.2241483536,1053176.5062045911,42110.26171687843,60344.005040286815
2020,Ingreso autónomo,Biobío,756916.1710606861,999129.3458001062,23577.54284625509,31122.35655705671
2022,Ingreso autónomo,Biobío,977686.8867773042,1067634.0803608168,22144.74506075049,24182.061606339536
2024,Ingreso autónomo,Biobío,1190035.8046448878,1190035.8046448878,24292.272217306105,24292.272217306097
2006,Ingreso autónomo,La Araucanía,331922.14280613646,698696.110606918,15359.866160853058,32332.51826859569
2009,Ingreso autónomo,La Araucanía,347183.04949125974,639163.9941134101,32187.335885922108,59256.88536598258
2011,Ingreso autónomo,La Araucanía,424345.34240965813,732844.4063414803,26653.799349395875,46031.11147640666
2013,Ingreso autónomo,La Araucanía,518792.1876486547,857044.6939955783,19909.392028159,32890.31563051866
2015,Ingreso autónomo,La Araucanía,588699.5589601638,885404.1366760851,27208.650311577974,40921.81006861328
2017,Ingreso autónomo,La Araucanía,654685.4265440187,938164.2162375795,30022.66040540542,43022.47236094594
2020,Ingreso autónomo,La Araucanía,638912.6808103515,843364.7386696641,25871.578098241025,34150.48308967815
